ONEW,Tc,NTC,Out,,,,,,,,,-14.197,14651.5
8.25,0,943,50, ,,,,,825,0,1263.729,4.38729000000001,12.63729
8.19,11.6,942.6,50, ,,,,,819,1160,1269.4078,4.50407800000001,1.09407800000001
8.44,17.56,941.96,50, ,,,,,844,1756,1278.49388,4.3449388,-4.7750612
8.63,23.64,941.58,50, ,,,,,863,2364,1283.88874,4.2088874,-10.8011126
9,20.58,940.95,50, ,,,,,900,2058,1292.83285,3.92832850000001,-7.65167149999999
9.25,32.55,939.77,50, ,,,,,925,3255,1309.58531,3.8458531,-19.4541469
9.5,26.93,938.66,50, ,,,,,950,2693,1325.34398,3.75343980000001,-13.6765602
9.63,16.16,937.6,50, ,,,,,963,1616,1340.3928,3.773928,-2.756072
9.75,17.19,936.56,50, ,,,,,975,1719,1355.15768,3.80157680000002,-3.63842319999998
9.69,21.72,935.53,50, ,,,,,969,2172,1369.78059,4.0078059,-8.0221941
9.38,30.43,934.52,50, ,,,,,938,3043,1384.11956,4.46119560000001,-16.5888044
9.06,18.26,933.51,50, ,,,,,906,1826,1398.45853,4.92458530000002,-4.27541469999999
8.81,17.25,932.91,50, ,9.09333333333333,18.6495238095238,13.8714285714286,937.170476190476,881,1725,1406.97673,5.2597673,-3.1802327
8.75,10.35,932.54,50, ,9.06952380952381,18.7466666666667,13.9080952380952,937.064285714286,875,1035,1412.22962,5.37229620000002,3.77229620000002
8.75,15.51,932.73,50, ,9.01571428571429,19.3285714285714,14.1721428571429,936.752857142857,875,1551,1409.53219,5.3453219,-1.4146781
8.88,9.61,933.64,50, ,8.94142857142857,19.8638095238095,14.402619047619,936.089523809524,888,961,1396.61292,5.08612920000001,4.35612920000001
8.94,12.26,934.58,50, ,8.86714285714286,19.7276190476191,14.297380952381,934.967619047619,894,1226,1383.26774,4.89267739999999,1.57267739999999
9,13.06,935.95,50, ,8.79857142857143,19.8552380952381,14.3269047619048,933.323333333333,900,1306,1363.81785,4.63817849999999,0.578178499999994
9.06,19.74,937.17,50, ,8.72095238095238,19.9319047619048,14.3264285714286,931.174761904762,906,1974,1346.49751,4.40497510000001,-6.27502489999999
9.19,17.64,938.7,50, ,8.67952380952381,20.2114285714286,14.4454761904762,928.571428571429,919,1764,1324.7761,4.05776100000001,-4.39223899999999
9.31,16.68,940.02,50, ,8.66761904761905,20.2933333333333,14.4804761904762,925.580952380953,931,1668,1306.03606,3.7503606,-3.6196394
9.31,16.51,940.81,50, ,8.67952380952381,19.937619047619,14.3085714285714,922.32,931,1651,1294.82043,3.63820430000002,-3.56179569999999
8.63,18.01,940.89,50, ,8.71857142857143,20.0385714285714,14.3785714285714,918.915714285714,863,1801,1293.68467,4.30684670000001,-5.0731533
7.94,19.6,939.73,50, ,8.78142857142857,20.0947619047619,14.4380952380952,915.482380952381,794,1960,1310.15319,5.16153190000001,-6.49846809999999
7.5,35.86,935.04,50, ,8.86761904761905,20.4095238095238,14.6385714285714,912.127619047619,750,3586,1376.73712,6.26737120000002,-22.0926288
7.44,31.82,927.02,50, ,8.94809523809524,20.4123809523809,14.6802380952381,908.895238095238,744,3182,1490.59706,7.46597060000002,-16.9140294
7.69,29.69,916.21,50, ,9.00761904761905,20.6185714285714,14.8130952380952,905.793809523809,769,2969,1644.06663,8.75066629999999,-13.2493337
8.06,29.61,904.13,50, ,9.05809523809524,20.6380952380952,14.8480952380952,902.847619047619,806,2961,1815.56639,10.0956639,-11.4543361
8,17.77,892.48,50, ,9.08476190476191,20.5685714285714,14.8266666666667,900.050952380952,800,1777,1980.96144,11.8096144,2.03961440000001
8.88,23.06,881.89,50, ,9.08190476190476,20.1361904761905,14.6090476190476,897.401428571429,888,2306,2131.30767,12.4330767,-1.7469233
9.44,23.44,872.73,50, ,9.04619047619048,19.7580952380952,14.4021428571429,894.878571428571,944,2344,2261.35219,13.1735219,-0.826478100000004
9.63,22.96,866.04,50, ,8.98380952380952,19.3885714285714,14.1861904761905,892.507619047619,963,2296,2356.33012,13.9333012,0.603301200000005
9.88,20.38,862.02,50, ,8.90666666666667,19,13.9533333333333,890.304285714286,988,2038,2413.40206,14.2540206,3.7540206
10.13,18.43,860.81,50, ,8.85,18.5190476190476,13.6845238095238,888.277142857143,1013,1843,2430.58043,14.1758043,5.87580430000002
10.56,16.96,862.09,50, ,8.81428571428572,17.95,13.3821428571429,886.489523809524,1056,1696,2412.40827,13.5640827,7.1640827
10.44,15.57,864.85,50, ,8.78761904761905,16.5895238095238,12.6885714285714,885.074285714286,1044,1557,2373.22455,13.2922455,8.16224550000001
10.13,13.94,868.51,50, ,8.75190476190476,15.4157142857143,12.0838095238095,884.187142857143,1013,1394,2321.26353,13.0826353,9.2726353
10,12.67,872.71,50, ,8.6952380952381,14.3257142857143,11.5104761904762,883.921428571429,1000,1267,2261.63613,12.6163613,9.94636130000001
9.56,11.6,877.22,50, ,8.61190476190476,13.2338095238095,10.9228571428571,884.352380952381,956,1160,2197.60766,12.4160766,10.3760766
9,10.66,881.53,50, ,8.52571428571429,12.7071428571429,10.6164285714286,885.43,900,1066,2136.41859,12.3641859,10.7041859
8.44,9.7,885.72,50, ,8.39142857142857,11.9295238095238,10.1604761904762,887.105238095238,844,970,2076.93316,12.3293316,11.0693316
8,8.92,890.23,50, ,8.22476190476191,11.1342857142857,9.67952380952381,889.291428571429,800,892,2012.90469,12.1290469,11.2090469
7.69,8.35,894.54,50, ,8.04619047619048,10.352380952381,9.19928571428572,891.879047619048,769,835,1951.71562,11.8271562,11.1671562
7.44,7.91,898.32,50, ,7.85238095238095,9.68761904761905,8.77,894.727142857143,744,791,1898.05096,11.5405096,11.0705096
7.19,7.65,902.19,50, ,7.64666666666667,9.12190476190476,8.38428571428571,897.693333333333,719,765,1843.10857,11.2410857,10.7810857
6.94,7.29,905.32,50, ,7.41761904761905,8.62047619047619,8.01904761904762,900.653809523809,694,729,1798.67196,11.0467196,10.6967196
6.69,7.17,908.39,50, ,7.19428571428572,8.18666666666667,7.69047619047619,903.516190476191,669,717,1755.08717,10.8608717,10.3808717
6.5,6.8,910.63,50, ,6.98571428571429,7.83142857142857,7.40857142857143,906.242857142857,650,680,1723.28589,10.7328589,10.4328589
6.31,6.68,913.18,50, ,6.78333333333333,7.54190476190476,7.16261904761905,908.792857142857,631,668,1687.08354,10.5608354,10.1908354
6.19,6.71,915.11,50, ,6.59904761904762,7.29666666666667,6.94785714285714,911.161428571428,619,671,1659.68333,10.4068333,9.8868333
6.06,6.73,917.07,50, ,6.44142857142857,7.10666666666667,6.77404761904762,913.36380952381,606,673,1631.85721,10.2585721,9.5885721
5.94,6.74,918.64,50, ,6.30761904761905,6.96380952380952,6.63571428571428,915.409047619047,594,674,1609.56792,10.1556792,9.35567920000001
5.88,6.54,920.38,50, ,6.18857142857143,6.85428571428571,6.52142857142857,917.264761904762,588,654,1584.86514,9.96865140000002,9.30865140000002
5.81,6.42,921.83,50, ,6.07857142857143,6.76952380952381,6.42404761904762,918.949523809524,581,642,1564.27949,9.83279490000001,9.22279490000001
5.81,6.55,923.1,50, ,5.97428571428571,6.69952380952381,6.33690476190476,920.493809523809,581,655,1546.2493,9.65249300000001,8.91249300000001
5.75,6.43,924.26,50, ,5.87904761904762,6.64333333333333,6.26119047619048,921.896666666667,575,643,1529.78078,9.54780780000001,8.86780780000001
5.75,6.46,924.96,50, ,5.79285714285714,6.6047619047619,6.19880952380952,923.176190476191,575,646,1519.84288,9.4484288,8.7384288
5.75,6.48,925.77,50, ,5.7152380952381,6.56761904761905,6.14142857142857,924.34380952381,575,648,1508.34331,9.3334331,8.6034331
5.75,6.59,926.26,50, ,5.64380952380952,6.54047619047619,6.09214285714286,925.444761904762,575,659,1501.38678,9.26386780000001,8.42386780000001
5.69,6.45,926.96,50, ,5.58142857142857,6.52428571428572,6.05285714285714,926.467142857143,569,645,1491.44888,9.2244888,8.4644888
5.69,6.67,927.78,50, ,5.52190476190476,6.50952380952381,6.01571428571429,927.423333333333,569,667,1479.80734,9.10807340000001,8.12807340000001
5.63,6.7,928.67,50, ,5.46857142857143,6.49095238095238,5.9797619047619,928.320476190476,563,670,1467.17201,9.04172010000002,7.97172010000002
5.5,6.62,929.2,50, ,5.41809523809524,6.46571428571429,5.94190476190476,929.182857142857,550,662,1459.6476,9.096476,7.976476
5.38,6.57,929.92,50, ,5.37047619047619,6.45047619047619,5.91047619047619,929.986190476191,538,657,1449.42576,9.11425760000002,7.92425760000002
5.25,6.44,930.75,50, ,5.32285714285714,6.44142857142857,5.88214285714286,930.753809523809,525,644,1437.64225,9.12642250000001,7.93642250000001
5.19,6.47,931.65,50, ,5.2752380952381,6.42190476190476,5.84857142857143,931.480952380952,519,647,1424.86495,9.05864950000001,7.77864950000001
5.13,6.48,932.19,50, ,5.22761904761905,6.41,5.81880952380952,932.18380952381,513,648,1417.19857,9.04198570000001,7.6919857
5.06,6.39,932.91,50, ,5.18,6.39809523809524,5.78904761904762,932.890952380953,506,639,1406.97673,9.0097673,7.6797673
5,6.23,933.75,50, ,5.13238095238095,6.38142857142857,5.75690476190476,933.582380952381,500,623,1395.05125,8.9505125,7.7205125
5,6.34,934.65,50, ,5.08476190476191,6.36190476190476,5.72333333333333,934.282857142857,500,634,1382.27395,8.82273950000001,7.48273950000001
4.94,6.4,935.19,50, ,5.04,6.35047619047619,5.69523809523809,934.969523809524,494,640,1374.60757,8.8060757,7.3460757
4.94,6.34,935.91,50, ,4.99238095238095,6.32428571428572,5.65833333333333,935.629047619048,494,634,1364.38573,8.70385730000002,7.30385730000002
4.88,6.21,936.75,50, ,4.94761904761905,6.29904761904762,5.62333333333333,936.253333333333,488,621,1352.46025,8.6446025,7.3146025
4.88,6.22,937.25,50, ,4.90904761904762,6.27904761904762,5.59404761904762,936.875714285714,488,622,1345.36175,8.5736175,7.2336175
4.81,6.23,937.95,50, ,4.87619047619048,6.26238095238095,5.56928571428572,937.496666666667,481,623,1335.42385,8.54423849999999,7.12423849999999
4.81,6.14,938.37,50, ,4.84952380952381,6.25238095238095,5.55095238095238,938.098095238095,481,614,1329.46111,8.4846111,7.1546111
4.75,6.18,939.02,50, ,4.82571428571429,6.24142857142857,5.53357142857143,938.668571428572,475,618,1320.23306,8.45233060000001,7.0223306
4.75,6.21,939.81,50, ,4.80476190476191,6.2252380952381,5.515,939.239523809524,475,621,1309.01743,8.34017430000002,6.88017430000002
4.75,6.13,940.29,50, ,4.78714285714286,6.21095238095238,5.49904761904762,939.791904761905,475,613,1302.20287,8.27202870000001,6.89202870000001
4.75,6.18,940.97,50, ,4.76952380952381,6.20714285714286,5.48833333333333,940.313333333333,475,618,1292.54891,8.1754891,6.7454891
4.75,6.21,941.38,50, ,4.75190476190476,6.1952380952381,5.47357142857143,940.816666666667,475,621,1286.72814,8.11728140000001,6.65728140000001
4.69,6.12,941.63,50, ,4.73380952380952,6.16904761904762,5.45142857142857,941.309047619048,469,612,1283.17889,8.14178890000001,6.71178890000001
4.69,6.17,941.78,50, ,4.71285714285714,6.14380952380953,5.42833333333333,941.776190476191,469,617,1281.04934,8.12049340000001,6.64049340000001
4.69,6.2,942.27,50, ,4.69476190476191,6.12857142857143,5.41166666666667,942.208571428572,469,620,1274.09281,8.05092810000002,6.54092810000002
4.69,6.22,942.96,50, ,4.67666666666667,6.1147619047619,5.39571428571429,942.639523809524,469,622,1264.29688,7.9529688,6.4229688
4.69,6.23,943.38,50, ,4.65904761904762,6.09714285714286,5.37809523809524,943.050476190476,469,623,1258.33414,7.89334140000001,6.35334140000001
4.69,6.24,943.63,50, ,4.64142857142857,6.08666666666667,5.36404761904762,943.449523809524,469,624,1254.78489,7.85784890000001,6.30784890000001
4.69,6.14,944.18,50, ,4.62666666666667,6.07571428571429,5.35119047619048,943.822380952381,469,614,1246.97654,7.77976540000002,6.32976540000001
4.69,6.09,944.51,50, ,4.61190476190476,6.05952380952381,5.33571428571429,944.160476190476,469,609,1242.29153,7.7329153,6.3329153
4.63,6.15,944.7,50, ,4.59714285714286,6.04952380952381,5.32333333333333,944.477619047619,463,615,1239.5941,7.765941,6.245941
4.63,6.09,945.22,50, ,4.58238095238095,6.03857142857143,5.31047619047619,944.782380952381,463,609,1232.21166,7.69211660000001,6.23211660000001
4.56,5.85,945.53,50, ,4.56761904761905,6.02238095238095,5.295,945.079523809524,456,585,1227.81059,7.71810590000001,6.42810590000001
4.5,5.81,945.72,50, ,4.55571428571429,6.01285714285714,5.28428571428571,945.371904761905,450,581,1225.11316,7.75113160000001,6.44113160000001
4.5,5.89,945.83,50, ,4.54380952380952,6.00238095238095,5.27309523809524,945.661428571429,450,589,1223.55149,7.7355149,6.3455149
4.5,5.93,946.3,50, ,4.53190476190476,5.98666666666667,5.25928571428571,945.930476190476,450,593,1216.8789,7.66878900000002,6.23878900000002
4.44,5.86,946.58,50, ,4.52,5.95809523809524,5.23904761904762,946.187142857143,444,586,1212.90374,7.6890374,6.2690374
4.44,5.92,946.75,50, ,4.50809523809524,5.93619047619048,5.22214285714286,946.417142857143,444,592,1210.49025,7.66490250000001,6.18490250000001
4.44,5.95,946.85,50, ,4.49619047619048,5.91333333333333,5.20476190476191,946.631428571429,444,595,1209.07055,7.6507055,6.1407055
4.44,5.87,946.91,50, ,4.47809523809524,5.89047619047619,5.18428571428571,946.83619047619,444,587,1208.21873,7.64218730000001,6.21218730000001
4.44,5.92,946.95,50, ,4.44523809523809,5.87190476190476,5.15857142857143,947.035238095238,444,592,1207.65085,7.6365085,6.1565085
4.44,5.95,947.37,50, ,4.40952380952381,5.84666666666667,5.12809523809524,947.230952380953,444,595,1201.68811,7.57688110000001,6.06688110000001
4.44,5.87,947.62,50, ,4.37380952380952,5.82190476190476,5.09785714285714,947.424761904762,444,587,1198.13886,7.54138860000001,6.11138860000001
4.44,5.92,947.77,50, ,4.34142857142857,5.80714285714286,5.07428571428572,947.617142857143,444,592,1196.00931,7.52009310000001,6.04009310000001
4.44,5.95,947.86,50, ,4.31190476190476,5.79380952380952,5.05285714285714,947.808571428572,444,595,1194.73158,7.50731580000002,5.99731580000002
4.44,5.87,947.92,50, ,4.28523809523809,5.77619047619048,5.03071428571429,947.980952380953,444,587,1193.87976,7.49879760000002,6.06879760000002
4.44,5.62,948.35,50, ,4.25857142857143,5.75619047619048,5.00738095238095,948.141428571429,444,562,1187.77505,7.4377505,6.2577505
4.44,5.77,948.21,50, ,4.2347619047619,5.74428571428571,4.98952380952381,948.294761904762,444,577,1189.76263,7.45762630000001,6.12762630000001
4.44,5.76,948.13,50, ,4.21095238095238,5.73190476190476,4.97142857142857,948.424761904762,444,576,1190.89839,7.4689839,6.1489839
4.31,5.66,948.48,50, ,4.18714285714286,5.72,4.95357142857143,948.56,431,566,1185.92944,7.5492944,6.1992944
4,5.7,948.69,50, ,4.16333333333333,5.70809523809524,4.93571428571429,948.698095238095,400,570,1182.94807,7.8294807,6.1294807
3.88,5.62,948.81,50, ,4.13952380952381,5.69142857142857,4.91547619047619,948.838095238095,388,562,1181.24443,7.93244430000001,6.19244430000001
3.88,5.57,949.29,50, ,4.11571428571429,5.66714285714286,4.89142857142857,948.96,388,557,1174.42987,7.86429870000002,6.17429870000002
3.88,5.54,949.57,50, ,4.08571428571429,5.64809523809524,4.86690476190476,949.071428571429,388,554,1170.45471,7.8245471,6.1645471
3.88,5.53,949.74,50, ,4.04380952380952,5.62238095238095,4.83309523809524,949.195714285714,388,553,1168.04122,7.80041220000001,6.15041220000001
3.94,5.52,949.45,50, ,3.99619047619048,5.59761904761905,4.79690476190476,949.346666666667,394,552,1172.15835,7.7815835,6.2015835
3.94,5.51,949.67,50, ,3.94238095238095,5.57333333333333,4.75785714285714,949.513333333333,394,551,1169.03501,7.75035010000001,6.18035010000001
3.94,5.61,949.8,50, ,3.88571428571429,5.54904761904762,4.71738095238095,949.670476190476,394,561,1167.1894,7.73189400000001,6.06189400000001
3.94,5.66,949.48,50, ,3.82333333333333,5.52047619047619,4.67190476190476,949.879047619048,394,566,1171.73244,7.7773244,6.0573244
3.94,5.7,949.69,50, ,3.75761904761905,5.48428571428571,4.62095238095238,950.118095238095,394,570,1168.75107,7.7475107,5.9875107
3.94,5.62,949.81,50, ,3.69238095238095,5.45761904761905,4.575,950.356666666667,394,562,1167.04743,7.73047430000002,6.05047430000002
3.94,5.57,949.89,50, ,3.64190476190476,5.42714285714286,4.53452380952381,950.614285714286,394,557,1165.91167,7.71911670000001,6.08911670000001
3.94,5.44,949.93,50, ,3.59428571428571,5.40428571428572,4.49928571428571,950.883333333333,394,544,1165.34379,7.71343790000001,6.21343790000001
3.81,5.47,949.96,50, ,3.54333333333333,5.38571428571429,4.46452380952381,951.139523809524,381,547,1164.91788,7.83917880000001,6.17917880000001
3.56,5.38,950.38,50, ,3.49238095238095,5.37476190476191,4.43357142857143,951.407619047619,356,538,1158.95514,8.0295514,6.2095514
3.44,5.43,951.03,50, ,3.44142857142857,5.35857142857143,4.4,951.682857142857,344,543,1149.72709,8.0572709,6.0672709
3.31,5.36,951.42,50, ,3.38761904761905,5.34857142857143,4.36809523809524,951.980952380952,331,536,1144.19026,8.13190260000001,6.08190260000001
3.25,5.11,951.65,50, ,3.33380952380952,5.33809523809524,4.33595238095238,952.274285714286,325,511,1140.92495,8.15924950000001,6.29924950000001
3.13,5.17,952.59,50, ,3.28,5.31238095238095,4.29619047619048,952.564761904762,313,517,1127.57977,8.1457977,6.1057977
3.06,5,953.15,50, ,3.22619047619048,5.28285714285714,4.25452380952381,952.872380952381,306,500,1119.62945,8.1362945,6.1962945
2.94,5.1,953.49,50, ,3.17238095238095,5.25571428571429,4.21404761904762,953.170952380952,294,510,1114.80247,8.2080247,6.04802470000001
2.94,5.06,954.1,50, ,3.11571428571429,5.23,4.17285714285714,953.464761904762,294,506,1106.1423,8.12142300000001,6.00142300000001
2.88,5.14,954.46,50, ,3.05904761904762,5.21,4.13452380952381,953.755238095238,288,514,1101.03138,8.1303138,5.8703138
2.81,5.18,954.67,50, ,2.99952380952381,5.19333333333333,4.09642857142857,954.04380952381,281,518,1098.05001,8.17050010000001,5.80050010000001
2.81,5.31,955.2,50, ,2.94619047619048,5.17809523809524,4.06214285714286,954.350476190476,281,531,1090.5256,8.09525600000001,5.59525600000001
2.81,5.19,955.52,50, ,2.90190476190476,5.16428571428572,4.03309523809524,954.648571428571,281,519,1085.98256,8.0498256,5.6698256
2.81,5.31,955.71,50, ,2.86,5.14142857142857,4.00071428571429,954.922380952381,281,531,1083.28513,8.0228513,5.5228513
2.81,5.29,955.83,50, ,2.82428571428571,5.12761904761905,3.97595238095238,955.181904761905,281,529,1081.58149,8.0058149,5.52581490000001
2.81,5.07,955.9,50, ,2.78857142857143,5.12428571428571,3.95642857142857,955.432857142857,281,507,1080.5877,7.99587700000002,5.73587700000002
2.81,5.04,955.94,50, ,2.75857142857143,5.11285714285714,3.93571428571429,955.640476190476,281,504,1080.01982,7.9901982,5.7601982
2.81,5.13,955.96,50, ,2.73190476190476,5.11095238095238,3.92142857142857,955.822380952381,281,513,1079.73588,7.9873588,5.6673588
2.75,5.08,955.98,50, ,2.70809523809524,5.10476190476191,3.90642857142857,955.988571428571,275,508,1079.45194,8.04451940000001,5.71451940000001
